url,text_english,is_industrial
https://france3-regions.francetvinfo.fr/pays-de-la-loire/mayenne/mayenne-depute-yannick-favennec-remonte-contre-orange-qui-n-assure-pas-service-universel-du-telephone-1898984.html,"b'Mayenne: deputy Yannick Favennec ""raised"" against Orange which does not provide universal telephone service Yannick Favennec, deputy for Mayenne, ""raised"" against Orange, which he accuses of not providing universal telephone service, at the moment when 5G is deployed in cities, in the countryside, the fixed network is no longer maintained, and people remain without a telephone. No response from @ oliviagregoire @Economie_Gouv to my question on @orange this morning at the @AssembleeNat: I would remind you that Orange must ensure this universal service by guaranteeing the integrity of its networks and the continuity of the services provided. @lamayenne '",False
https://france3-regions.francetvinfo.fr/pays-de-la-loire/maine-et-loire/angers/trelaze-orange-installe-pylones-5g-demander-au-maire-1909598.html,"b'Tr\xe9laz\xe9, Maine-et-Loire: Orange is installing 5G boxes without asking the mayor The mayor of Tr\xe9laz\xe9 learned from the press that his town had just been equipped with 5G on a site located in an industrial zone. The city councilor expressed his irritation to Orange. No need for authorization, answers the operator, just information. What information remains to be defined. 5G boxes were added at the beginning of December on this orange pylon in an industrial zone in Tr\xe9laz\xe9. The mayor says he learned about it from the press. Dissatisfied he wrote to the operator. He accuses him of having received only a letter with little explanation regarding the installation of new frequencies in his town. It seemed as though it was an advertising leaflet for Orange - Marc Goua, mayor of Tr\xe9laz\xe9 The mayor continued: Indeed, when we researched after hearing from the press, we found that there was reference to the installation of 5G. At the very least, we need consultation. \'\' We respected the procedure - Robert Mitu, Orange Pays de la Loire regional delegate On the Orange side, it is a misunderstanding. Both the substance and the form of the procedure have been respected: the operator does not have to ask the city for authorization to launch 5G, only the obligation to inform him. \'\' We sent to the municipality of Tr\xe9laz\xe9 an information file `` town hall \'\', inside this file there is all the technical information and it appeared very clearly that there were going to be 5G installations on one of the sites of the municipality of Tr\xe9laz\xe9 "", explains Robert Mitu, of the company Orange.Aux Ponts-de-C\xe9, same incomprehension. The town hall would have liked to wait for the report from Arcep, the regulatory authority for electronic communications. In Angers, another city equipped with 5G , an elected official follows the file closely and holds commissions with the operators every two months. \'\' The fact that there is a commission and the fact that we impose a slightly larger file is specific to the city of Angers, explains Maxence Henry, deputy mayor of Angers, even before we arrived, it was already in place. This, I believe that it\'s been ten years that it is in place in Angers, and therefore each municipality has the freedom to go more or less far in its relationship with mobile operators. \'\' Remains that in Maine -and-Loire, none of the three municipalities disputes 5G, which will allow speeds three to four times faster.> The report of our editorial staff '",False
https://france3-regions.francetvinfo.fr/nouvelle-aquitaine/landes/grippe-aviaire-abattage-preventif-zone-surveillance-etendue-apres-4-nouveaux-cas-suspicion-chalosse-1909614.html,"b'Avian influenza: preventive culling and extended surveillance zone after 4 new cases of suspicion in Chalosse The control zone now concerns around one hundred municipalities in the Landes but also in the Pyr\xe9n\xe9es-Atlantiques. In Horsarrieu, Gaujacq, Maylis and Pouillon, farms could be infested. The preventive slaughter of 40,000 farmed poultry continues. According to a decree published in the Official Journal on Tuesday, the authorities have ordered the preventive slaughter of farmed poultry in around a hundred municipalities, mainly in the Landes but also in the Pyrenees -Atlantic, in order to control the spread of avian flu. A previous decree, dated December 23, ordered preventive slaughter in 11 municipalities in the Landes. ""Considering the spread of the virus responsible for the highly pathogenic avian influenza of the H5N8 subtype in avifauna and on farm poultry , in particular of palmipeds, in the Landes department and the need to prevent the risk of spreading the epizootic "", a"" preventive slaughter is ordered in order to accelerate the control of the epizootic "", stipulates the decree .\r\nThe text which comes into force on Tuesday highlights in particular ""the high density of poultry farms in the Landes department"". The ""target groups"" are ""all bird owners (poultry, ornamental birds, game and captive wildlife), veterinarians, departmental analysis laboratories, poultry professionals, companies in \'rendering and slaughtering\'.\r\nJORF December 29, 2020 Last week, massive preventive culling of 40,000 ducks in the Landes had been ordered (and are continuing) to curb the spread of avian flu, detected in 18 outbreaks in France including 7 in the Landes. in Chalosse, four other farms are the subject of suspected avian influenza, in Horsarrieu, Gaujacq, Maylis and Pouillon. Farms located only a few kilometers from the two confirmed cases of Sort-en-Chalosse and Bergouey. This is why the temporary control zone has been set up and recently extended around the centers of infection and then of surveillance. It is not a question of systematically slaughtering all the animals in this hundred or so municipalities. According to Marie-H\xe9l\xe8ne Cazaubon, president of the Landes Chamber of Agriculture: ""this virus is stronger than what we have known before. This is why we must act very quickly to protect other livestock"". And the president recalled the system put in place. Around an outbreak of avian influenza, all the birds over 1 km around are slaughtered. Then, around 3 kilometers (protection zone), it\'s all the palmipeds. Then, a special surveillance zone is organized over the 10 kilometers around the infested areas. This is why all of these animals in these areas are prohibited, ""only after analyzes"" and strict sanitary measures must be observed there. And she recalls that each farm slaughtered preventively is also the subject of analyzes to follow the evolution of this particularly tough H5N8 virus this year ... According to the Ministry of Agriculture ""the traceability of upstream and downstream movements infected farms can identify both risk factors and other potentially exposed farms, in which samples are taken to search for the virus. ""As of December 28, 18 outbreaks of H5N8 were identified. After outbreaks in Corsica and Yvelines, 10 farms are now contaminated including 7 in the Landes, in the municipalities of Benesse-Maremne, Saint-Geours-de-Maremne, Angresse, Sort-en-Chalosse and Bergouey located in proximity to wetlands suitable for gatherings of wild birds. 1 in Vend\xe9e (Saint-Maurice-des-Noues) and 1 in Deux-S\xe8vres (Saint Sauveur-sur-Bressuire). An outbreak of avian influenza has also been confirmed in the Hautes Pyr\xe9n\xe9es department December 23 "".\n\r\nThe new cases in Chalosse, a territory with a high poultry density, required ""to adapt the disease prevention strategy in order to avoid as much as possible a strong spread of the virus."" The situation in France on December 28\r\nLike several European countries, France has been facing an episode of highly pathogenic avian influenza (HPAI) since mid-November.\r\nThe virus in question (H5N8) exclusively affects birds. It is not transmissible to humans. The disease circulates actively in wildlife and manifests itself on the occasion of migrations towards the South. '",False
https://france3-regions.francetvinfo.fr/auvergne-rhone-alpes/rhone/lyon/lyon-pietonnisation-avance-grand-pas-quartier-confluence-polemique-enfle-1901244.html,"b'In Lyon, pedestrianization is advancing rapidly in the Confluence district and the controversy swells In Lyon, part of the Confluence district, at the level of the Charlemagne course, will be closed to traffic and reserved for pedestrians and trams, for a 3-month experiment, on the occasion of the extension of T2. '",False
https://france3-regions.francetvinfo.fr/bourgogne-franche-comte/velo-au-1er-janvier-2021-loi-impose-gravage-identification-velos-neufs-1906004.html,"b""Bicycle: on January 1, 2021, the law requires the engraving or identification of new bicycles. A kitty under the Christmas tree to afford a bicycle? Its worth the wait a few days to make your purchase. The orientation and mobility law wants to better protect bikes against theft from January 1, 2021. Explanations.At January 1, 2021, there will be something new in the bicycle department If you buy a bicycle for leisure or to go to work, the LOM law (orientation and mobility law) of December 24, 2019 imposes in Decree No. 2020-1439 of November 23, 2020, the obligation to identify cycles.\n\nWhich bikes are affected by this engraving obligation?\nWhich bikes are not affected by this engraving obligation?\nA national file to fight against theft and stolen goods\n\nWhen you buy a bike in a store or online, it will be identified by a number engraved on the frame, and also declared in the FNUCI, the unique file of identified cycles. This file is established to fight against the theft, concealment and illicit resale of cycles in order to return the devices to their owners. In this file, the surname and first name or company name of the owner of the cycle, as well as his telephone number and email address will be entered. The type of machine, make, model, color will also be entered.\n\nUpdate your contact details if your bike is already equipped with BYCICODE engraving\n\nThe FUB, the federation of bicycle users, recommends that people who have already protected their bicycle with a BYCICODE engraving between 2004 and the end of 2020 to check the update and registration of their contact details. These bikes marked with BICYCODE will appear in a new BICYCODE 3.0 base and also in the single national file of identified cycles, explains the FUB.\n\nStolen bike, sold bike, what to do?\n\r\nIf by bad luck your bike is stolen, you will report the theft to the police or gendarmerie, and to the service provider who registers your data. In case of resale, everything is also planned, after some formalities on both sides, the identification number of the bike will pass to the name of the new owner. If you are about to buy a bike on Bon Coin, ask the seller for the identification number of the bike in 2021, to find out if it is the seller's property, or if it has unfortunately been stolen.\n\r\nIn France, according to the FUB more than 400,000 bicycles are stolen, more than 150,000 bicycles are also found abandoned. But for lack of identification, they cannot be returned. In the absence of marking, only 2 to 3% of theft victims recover their bikes. The new device should ultimately improve the traceability of bicycles. Even if your bike is registered, remember to equip yourself with a sturdy anti-theft device and to secure it properly. """,False
https://france3-regions.francetvinfo.fr/normandie/seine-maritime/rouen/pres-rouen-nomank-lance-tisanes-bio-francaises-1909632.html,"b'Near Rouen, Nomank is launching organic and French herbal teas.The company based in Petit-Couronne has opened a participatory online pot to help it finance the development of its new hot drinks activity.The Norman brand has been offering healthy snacks since 2017. nutritional. Today, it is diversifying by adding organic herbal teas made from 100% French plants and made in its workshop in Petit-Couronne in Seine-Maritime. Nomank is thus surfing the trend for hot drinks without caffeine or theine. To stand out, it relies on the use of guaranteed organic plants of French origin.Today, there is no real equivalent on the market.Lucie de Saint-Etienne, co-founder and CEO of the company of plants were developed in collaboration with a naturopath and a dietician, in order to optimize their benefits for the body. To reduce waste, they are sold in bulk in kraft bags, and offered with a glass infuser. The company has set itself the goal of modernizing the image of herbal teas. These infusions can replace tea or coffee in the morning by providing energy throughout the day. One of the blends is intended to replace tea or coffee by its energizing power. Combining rose hip, savory, peppermint and thyme, it is also aimed at athletes who need a little boost before or during a workout.The herbal tea made from lemon balm, peppermint, blackcurrant and oregano helps for digestion and relieves bloating and heartburn.A herbal tea with red vine, blueberry and olive tree aims to help those who suffer from heavy legs, varicose veins and rosacea. It is also aimed at athletes who want to optimize their venous return and muscle recovery after training.Finally, the latest infusion composed of thyme, blackcurrant and rosemary announces that it will stimulate the immune system to keep fit all year round. pre-sales of herbal teas began on November 18, 2020 on a crowdfunding platform and will end on January 10, 2021. It aims to finance the costs of raw materials, 100% recyclable paper packaging and the manufacture of a glass infuser infinitely reusable. In exchange for various amounts, the company offers different packs. On December 29, 2020, Nomank had already secured three quarters of its presales. '",True
https://france3-regions.francetvinfo.fr/auvergne-rhone-alpes/loire/loire-laine-brebis-100-bio-1907840.html,"b""Loire. A 100% organic sheep's wool Laura Chalendard raises her 90 ewes, Bizets, Charolaises, and Blanches of the Massif Central, near Rive de Gier in the Loire. She works their wool in the traditional way without any treatment and weaves hats, neck warmers and jewelry. Laura Chalendard's ewes are shorn on site at the farm just before lambing in February.\r\nThe wool is sorted on site then sent to the G\xe9vaudan washing center, the last on the territory before being sent to the Terrade spinning mill in the Creuse. Laura collects the wool and puts it on a spool. This natural material remains until the finished product. It does not undergo any treatment or dyeing. The color varies, each season, according to the color of the sheep in the flock. To this day, she weaves scarves, chokers and some jewelry by hand and sends orders throughout France and even abroad. marketed via the store on its website, the only place of sale for its products. Laura plans to expand her catalog by training to weave, in particular, hats.\r\nIt also markets wool in spools. At the end of the year, parcels are leaving every day and the stock shortage is not far away. Fortunately, a wool delivery is scheduled for early January. Laura took over the Micale farm in 2018. This young woman is very involved in her town of Rive de Gier. She signed an eco-grazing agreement with the municipality last spring. His lambs were placed in public space for the management of green spaces in 0 phytosanitary. """,False
https://france3-regions.francetvinfo.fr/auvergne-rhone-alpes/haute-savoie/annecy/annecy-syndicats-appellent-rassemblement-14h30-contre-loi-securite-globale-1897222.html,"b'Annecy: about 300 demonstrators against the law of ""global security"" gathered this Saturday This Saturday, November 21, the rally in opposition to the law of ""global security"" brought together about 300 people, in Annecy, from 2:30 pm, on the Paquier. '",False
https://france3-regions.francetvinfo.fr/nouvelle-aquitaine/landes/dax/dax-ville-thermale-videe-ses-curistes-plusieurs-mois-1894848.html,"b'Dax: the spa town emptied of its curists for several months It is a sector also very affected by this reconfinement: hydrotherapy. The Landes remain the first thermal department in France, but following this very complicated year 2020, the establishments are asking for help and hope to be able to reopen in 2021. '",False
https://france3-regions.francetvinfo.fr/bretagne/ille-et-vilaine/rennes/rassemblement-rennes-nouvelle-marche-dire-stop-aux-lois-liberticides-1907390.html,"b'Rennes: new gathering to say stop to freedom-killing laws. A new rally is organized in Rennes this Saturday, December 19 against the liberticidal laws. One of the main demands of the demonstrators: the comprehensive security bill, seen as an attack on the freedom to inform. This is the fourth rally in Rennes, but no question for the demonstrators to give up. This afternoon, the meeting is given on the Charles-de-Gaulle esplanade in Rennes. While the first gatherings gathered thousands of people, this Saturday, between 300 and 400 people gathered. The main thing for those present is to ""keep up the pressure"". ""Do not let the state terrorize us,"" exclaims a young woman at the microphone. ""Nothing to hide, nothing to blur"", ""They mutilate us, they \'perquiz\' us, who is it that terrorizes?"" Proclaim the banners of the demonstrators. For one of the demonstrators, this law is very dangerous ""because now the police can do what they want. We will no longer have the means to show the images"". A large security force is deployed to avoid overflows like those of December 5. This Saturday\'s rally remains static without a parade through the streets of the city center.\n""We must keep up the pressure in the street also to build the massive and determined movement that will allow us to win and to raise our heads"", claims the New Anticapitalist Party of Rennes.\r\nCurfew is not ceasefire!\r\n\r\nWhile we were nearly 6,000 in Rennes on 11/28 and that thousands of ... In total, 13 associations or unions or political parties called for demonstrations this Saturday: We All 35, NPA Rennes, UCL Rennes, Ensembles ! Rennes, Parti de Gauche 35, France Insoumise, Solidaires 35, SUD PTT, UJFP Bretagne, Extinction Rebellion, Housing Group of October 14, Collectif V\xe9rit\xe9 et Justice pour Babacar Gueye.\r\nThe demonstrators also denounce ""other dangerous projects"" proposed by the government such as the ""bill reinforcing republican principles."" This bill is to fight against all forms of separatism. According to several unions, this law ""would lead to covering up racist and Islamophobic acts and to building the image of an enemy from within"".\r\nThe collective against the comprehensive security law, which brings together 27 Brest associative, trade union or political organizations, also called for a demonstration on December 19, at 3 p.m., Place de la Libert\xe9 in Brest. They were about 500 who answered the call. '",False
